#MeshBlock 0 on rank=0 with cost=1
#  Logical level 2, location = (0 0 0)
0.5 1.3208 0
2 1.3208 0
2 1.8208 0
0.5 1.8208 0
0.5 1.3208 0
0.5 1.3208 2.0944
2 1.3208 2.0944
2 1.3208 0
2 1.3208 2.0944
2 1.8208 2.0944
2 1.8208 0
2 1.8208 2.0944
0.5 1.8208 2.0944
0.5 1.8208 0
0.5 1.8208 2.0944
0.5 1.3208 2.0944
0.5 1.3208 0


#MeshBlock 1 on rank=0 with cost=1
#  Logical level 2, location = (0 0 1)
0.5 1.3208 2.0944
2 1.3208 2.0944
2 1.8208 2.0944
0.5 1.8208 2.0944
0.5 1.3208 2.0944
0.5 1.3208 4.18879
2 1.3208 4.18879
2 1.3208 2.0944
2 1.3208 4.18879
2 1.8208 4.18879
2 1.8208 2.0944
2 1.8208 4.18879
0.5 1.8208 4.18879
0.5 1.8208 2.0944
0.5 1.8208 4.18879
0.5 1.3208 4.18879
0.5 1.3208 2.0944


#MeshBlock 2 on rank=0 with cost=1
#  Logical level 2, location = (0 0 2)
0.5 1.3208 4.18879
2 1.3208 4.18879
2 1.8208 4.18879
0.5 1.8208 4.18879
0.5 1.3208 4.18879
0.5 1.3208 6.28319
2 1.3208 6.28319
2 1.3208 4.18879
2 1.3208 6.28319
2 1.8208 6.28319
2 1.8208 4.18879
2 1.8208 6.28319
0.5 1.8208 6.28319
0.5 1.8208 4.18879
0.5 1.8208 6.28319
0.5 1.3208 6.28319
0.5 1.3208 4.18879


